# Date: 2022-04-25, 12:43:47
# Query: #x_ >PRED #y & #x_ >VTYPE #z_
# Running time: 552.87s 
# Treebanks: nob-avis, nob-child, nob-lbk-av, nob-lbk-sa, nob-lbk-tv, nob-ndt-lfg, nob-novel, nob-novel_1, nob-novel_2, nob-novel_3, nob-novel_4, nob-novel_5, nob-novel_6, nob-novel_7, nob-novel_8, nob-novel_9, nob-nrk, nob-sofie
# match types: 10810
# matches: 10458840

#	#y	
# Count	value
471	vri*på
471	misse
470	vedde*på
468	støye
468	komme*an*på
467	tiltale
466	forholde*seg
465	bekymre*seg*for
465	låne&lend
464	falme
464	bykse
463	presentere*for
463	la*i
462	inntreffe
462	sile
461	skjule*for
461	droppe
461	lyne
460	oppfordre*til
460	få*på
460	utrette
459	beherske*seg
459	speile*seg
458	more
458	veve
457	motstå
457	påføre
456	tute
456	helbrede
456	lagre
456	strø
455	boble
455	skotte*på
454	sette*av
453	forsikre*om
452	vibrere
452	brette*sammen
452	gjenta*seg
452	komme*frem*til
451	myse*mot
451	drysse
451	se*til
450	delta
450	kravle
450	åpne*for
450	holde*sammen
448	hutre
448	slentre
448	inkludere
447	forsinke
447	spisse
447	tusle
447	omfatte
446	spandere
445	tvinne
445	medgi
444	knase
444	trekke*for
443	ignorere
443	omringe
442	finte
442	slippe*løs
442	ynke*seg
441	hale
440	søle
440	besette
440	snorke
440	opprøre
439	heise
439	krenke
439	ruske*i
437	sjangle
437	gratulere
436	kle*av
436	fokusere*på
435	hive*etter#pust
435	skumme
435	skru*på
435	høres
434	benekte
434	slenge*fra*seg
434	fange*opp
434	bryte*sammen
433	demonstrere
432	subbe
432	stotre
430	presse*på
429	mistenke*for
428	signalisere
428	anse*som
427	dikte
426	sette*sammen
426	ta*bort
426	runge
426	komme*i gang
425	brake
425	svulme
425	få*av
424	ta*seg*i
424	viske*ut
424	fingre*med
424	knake
422	motsi
422	holde*frem
421	vikle
421	galoppere
421	bråstoppe
421	dra*frem
420	dure
420	stå*frem
419	møte*opp
418	smigre
418	oppløse
417	jobbe*som
417	tromme
417	massere
417	lytte*etter
415	opphøre
415	by*seg
413	dyppe
413	rugge
413	garantere
412	strikke
412	samarbeide
412	analysere
412	stamme*fra
411	si*seg
411	stå*om
411	rive*i
411	blåse*ut
411	beruse
411	svike
411	klappe*på
410	trosse
410	snu*seg*rundt
409	avlegge
409	klemme*til
408	pumpe
408	høste
408	høye
408	falle*inn
407	forberede*seg*på
407	ta*ned
407	friste*til
407	formulere
406	avdekke
406	omkomme
406	undertegne
405	tynge
405	bremse
404	vaske*opp
404	rømme*fra
403	grue*seg*til
402	ta*igjen
402	tilpasse
401	kikke*i
401	overgå
401	begjære
400	gå*gjennom
400	sette*over
400	samle*på
400	svekke
399	vokse*seg
399	interessere*seg*for
397	drøfte
397	invitere*på
396	rapportere
396	anklage*for
396	hele
396	slakte
396	vise*til
396	skrå
396	stemme*med
395	pile
395	sladre
395	se*gjennom
395	forklare*seg
394	ta*for*seg
394	oppklare
393	kante
393	gjenvinne
392	skjelle*ut
392	måtte*til
392	sprelle
391	trenge*seg*inn
391	bite*i
391	ta*inn
391	kaste*fra*seg
391	oversette
389	klyve
388	ta*fatt*på
388	sprike
388	stumpe
388	lage*seg
386	bryte*seg*inn
386	dra*ut
386	stritte*imot
386	mishandle
386	dele*seg
385	døse
385	luske
384	spytte*ut
384	tildele
